MesZL	SL/HA	aBZL	HethZL		Sign Name	Unicode	Unicode Name	comment	has unicode	worthington	
456	294cn				DAG.KISIM5×MÚRU ?			uncertain	FALSE	FALSE	
446	286				DAG.KISIM5×NE	U+12068 𒁨	DAG KISIM5 TIMES NE		TRUE	FALSE	
445	285				DAG.KISIM5×SI	U+1206A 𒁪	DAG KISIM5 TIMES SI		TRUE	FALSE	
889	557	454	298		DAM	U+1206E 𒁮	DAM		TRUE	FALSE	
166	100; 063x	365	71		DÀR	U+12070 𒁰	DARA3		TRUE	FALSE	
183	113	37	83		DAR (GÙN; ḪU-gunû, SI-gunû)	U+1206F 𒁯	DAR		TRUE	FALSE	
183	114				DAR (GÙN; ḪU-gunû, SI-gunû)			variant of n183	FALSE	FALSE	
817	540	421			DARA4 (SÍG+AŠ)	U+12071 𒁱	DARA4		TRUE	FALSE	
547	338	215	102		DÉ (SIMUG)	U+12323 𒌣	UMUM	umum: value not accepted in MesZL. simug, umun2	TRUE	FALSE	
547	338n1				DÉ×KASKAL	U+12324 𒌤	UMUM TIMES KASKAL	abzux, de2	TRUE	FALSE	
547	338n2				DÉ×PA	U+12325 𒌥	UMUM TIMES PA	reconstruction	TRUE	FALSE	
736	457	431	312		DI	U+12072 𒁲	DI		TRUE	FALSE	
813	537	419	210?		DIB (DAB)	U+12073 𒁳	DIB		TRUE	FALSE	
191	117	310			DÌLIB (SAG×ŠID)	U+122A0 𒊠	SAG TIMES SHID		TRUE	FALSE	
167	94	14	14		DIM	U+12074 𒁴	DIM		TRUE	TRUE	tim tem ti
264	150	254	116		DÌM (RAB.GAM)	U+12290 𒊐 & U+120F5 𒃵	RAB & GAM		TRUE	FALSE	
168	095, 095v	15	18		DIM×ŠE, later DIM×KUR	U+12075 𒁵	DIM TIMES SHE		TRUE	TRUE	
265	150v3				DIM10 (RAB.KAM*)			to n264	FALSE	FALSE	
269	150v4				DIM11 (LUGAL.KAM*)			to n264	FALSE	FALSE	
263	150v1				DIM8 (RAB.GAN)	U+12290 𒊐 & U+120F6 𒃶	RAB & GAN		TRUE	FALSE	
267	150v2				DIM9 (LUGAL.GAN)	U+12217 𒈗 & U+120F6 𒃶	LUGAL & GAN	to n264	TRUE	FALSE	
202	122a	51			DIMGUL ("MÁ.MUG")	U+12223 𒈣 & U+1222E 𒈮	MA2 & MUG		TRUE	FALSE	
724	449_46	233	288		DIMSAR	U+12149 𒅉	IGI OVER IGI SHIR OVER SHIR UD OVER UD		TRUE	FALSE	
119	465	361	330		DIN	U+12077 𒁷	DIN		TRUE	FALSE	
119	465+166 +350+480				DIN.KASKAL.SIG7	U+12078 𒁸	CUNEIFORM SIGN DIN KASKAL U GUNU DISH		TRUE	FALSE	
207	123	164	89		DIR(SI.A)	U+122DB 𒋛 & U+12000 𒀀	SI & A		TRUE	FALSE	
748	480	390	356		DIŠ (1)	U+12079 𒁹	DISH	DIŠ "1", GEŠ2 "60"	TRUE	TRUE	
824	534				DIŠ.U	U+12079 𒁹 & U+1230B 𒌋	DISH & U	"600"	TRUE	FALSE	
847	585a				DIŠoverDIŠ			"4"; Neo-Assyrian: use U+12456 𒑖	FALSE	FALSE	
865	598en				DIŠoverDIŠoverDIŠ	U+12449 𒑉	NUMERIC SIGN NINE VARIANT FORM ILIMMU A	"9"	TRUE	FALSE	
350	206	064, 197	128		DU	U+1207A 𒁺	DU		TRUE	TRUE	
721	459a	311	211		DU6 (LAGAR-gunû)	U+121EF 𒇯	LAGAR GUNU		TRUE	FALSE	
721	459an2	335			DU6overDU6.ŠE	U+121F0 𒇰	LAGAR GUNU OVER LAGAR GUNU SHE		TRUE	FALSE	
242	138	112b	99		DUB	U+1207E 𒁾	DUB		TRUE	TRUE	"tup"
565	352	82			DÚB (BALAG)	U+12080 𒂀	DUB2		TRUE	FALSE	
565	352	195	225		DÚB (BALAG)	U+12046 𒁆	BALAG		TRUE	FALSE	
245	136; 316v1				DUB×LAGAB			U+1231E 𒌞 UM TIMES LAGAB to be deleted	FALSE	FALSE	
244	135				DUB×ŠÀ			U+12320 𒌠 UM TIMES SHA3 to be deleted	FALSE	FALSE	
243	138a				DUB×ŠE				FALSE	FALSE	
688	409n; 432_2	DÚBUR: 284			DÚBUR (ḪI×U)	U+12136 𒄶	HI TIMES U		TRUE	FALSE	
499	309	80	162		DUG (BI×A)	U+12081 𒂁	DUG		TRUE	FALSE	
499	309	80	162		DUG (BI×A)	U+1204A 𒁊	BI TIMES A		TRUE	FALSE	
704	445	349	268		DUGUD	U+12082 𒂂	DUGUD		TRUE	FALSE	
512	329	331			DÙL (SAG-gunû)	U+122A8 𒊨	SAG GUNU		TRUE	FALSE	
720	459	360	262		DUL (U.TÚG)	U+1230B 𒌋 & U+12306 𒌆	U & TUG2	DUL not really splittable	TRUE	FALSE	
