name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
GIŠ.DUG.SILA3.BUR	𒄑𒁃,  𒄑𒂁𒋡𒁓				469+499+099+559	U+12111 & U+12043 & U+002C & U+0020 & U+0020 & U+12111 & U+12081 & U+122E1 & U+12053	True	MUŠTABTIN																																								
GIŠ.KAD5	𒄑𒆓				469+569	U+12111 & U+12193	True	UNU9																																								
GIŠ.BU	𒄑𒁍				469+580	U+12111 & U+1204D	True	GAZIBU																																								
GIŠ.PI.TUG2	𒄑𒉿𒌆				469+598+809	U+12111 & U+1227F & U+12306	True	GEŠDU3	GEŠTU3																																							
GIŠ.MI	𒄑𒈪				469+681	U+12111 & U+1222A	True	GISSU	GIZZU	LUḪUMMU	ṢIL4	UBILLA2																																				
GIŠ.KU	𒄑𒆪				469+808	U+12111 & U+121AA	True	KAK2	TUKUL2																																							
GIŠ.KU.AN	𒄑𒆪𒀭				469+808+010	U+12111 & U+121AA & U+1202D	True	GIŠ.TUKUL.DINGIR	MEDDU																																							
GIŠ.KU.BAD	𒄑𒆪𒁁				469+808+113	U+12111 & U+121AA & U+12041	True	GIŠ.TUKUL.IDIM	MEDDU2																																							
GIŠ.TUG2	𒄑𒌆𒋼𒀀				469+809+590	U+12111 & U+12306 & U+122FC & U+12000	True	AZLAG6																																								
GIŠ.TUG2.KAR.DU	𒄑𒌆𒋼𒀀𒁺				469+809+590+350	U+12111 & U+12306 & U+122FC & U+12000 & U+1207A	True	AZLAG4																																								
GIŠ.TUG2.PI	𒄑𒌆𒉿				469+809+598	U+12111 & U+12306 & U+1227F	True	GEŠDU2	GEŠTU2																																							
GIŠ.TUG2.PI.ŠIR.SILA3	𒄑𒌆𒉿𒋓𒋡				469+809+598+115+099	U+12111 & U+12306 & U+1227F & U+122D3 & U+122E1	True	GIZAL2																																								
GIŠ.TUG2	𒄑𒌆𒉿𒋔𒋡				469+809+598+116+099	U+12111 & U+12306 & U+1227F & U+122D4 & U+122E1	True	GIZAL2																																								
GIŠ.TUG2.PI.KAR	𒄑𒌆𒉿𒋼𒀀				469+809+598+590	U+12111 & U+12306 & U+1227F & U+122FC & U+12000	True	AŠLAG																																								
GIŠ.TUG2.PI.KAR	𒄑𒌆𒉿𒋼𒀀				469+809+598+590	U+12111 & U+12306 & U+1227F & U+122FC & U+12000	True	AŠLAG																																								
GIŠ.TUG2.PI.KAR.DU	𒄑𒌆𒉿𒋼𒀀𒁺				469+809+598+590+350	U+12111 & U+12306 & U+1227F & U+122FC & U+12000 & U+1207A	True	AŠLAG																																								
GIŠ.GIN2	𒄑𒂅𒈦				469+836+120	U+12111 & U+12085 & U+12226	True	GILGAMES	GILGAMEŠ																																							
GIŠ.KUŠU2	𒄑𒆵				469+896	U+12111 & U+121B5	True	UMMA																																								
GIŠ crossing GIŠ	𒄒				469v, 378	U+12112	False																																									
GIŠ	𒄕				470	U+12115	False	GUR17	KANA7																																							
GIŠ x BAD	𒄓				471	U+12113	False	GEŠḪAR	ZIZ4																																							
GU4	𒄞		cattle		472	U+1211E	False	ALAB	ZIB3																																							
GU4	𒄞  x 𒆜				473	U+1211E & U+0020 & U+0020 & U+0078 & U+0020 & U+1219C	True																																									
AL x KID2	𒀥				475	U+12025	False	DUBAL																																								
AL x UŠ	𒀨				476	U+12028	False	ḪIBIS2	ḪIBIZ2	ŠUŠBAR	ŠUŠMAŠ																																					
AL x GIŠ	𒀣				477	U+12023	False	GIŠBAR	GIŠMAŠ																																							
AL x AL	𒀡				478	U+12021	False	BAL3																																								
AL x ŠE	𒀧				479	U+12027	False	IL																																								
AL x ŠE	𒀧				479, 348	U+12027	False																																									
AL x GIM	𒀢				480	U+12022	False	AL x DIM2	LIDIM																																							
AL x KI	𒀦				481	U+12026	False	BAL4	DUBAL2																																							
AL x ḪA	𒀤				482	U+12024	False	ḪIBIRA																																								
MES.RU	𒈩𒊒				486+111	U+12229 & U+12292	True	RIG11																																								
ŠID x IM	𒋅				487	U+122C5	False	ḪUBḪUB2																																								
MES x ME	𒈩  x 𒈨				488	U+12229 & U+0020 & U+0020 & U+0078 & U+0020 & U+12228	True	EME2																																								
UM x ME	𒌝  x 𒈨				488	U+1231D & U+0020 & U+0020 & U+0078 & U+0020 & U+12228	True	EME2																																								
UMBISAG2	𒋄				489	U+122C4	False	ŠID x A	ALAL	ALAMU	ALMU	BISAG3	BISAN3	BIZEG3	BIZEM3	ELAL	ḪUBḪUB	MEZEG	MEZEM	PISAG3	PISAN3	UBISAG2																										
U2	𒌑				490	U+12311	False	BA6																																								
U2	𒌑𒄈				490+006	U+12311 & U+12108	True	ATTU																																								
U2	𒌑𒄉				490+007	U+12311 & U+12109	True	AD5	ADDA3	ADDU2	KIŠ16	KIŠA	KIŠI16																																			
U2.KA	𒌑𒅗				490+024	U+12311 & U+12157	True	MUSUG2	MUZUG2	USUG2																																						
U2.NUMUN2	𒌑𒍤𒆸				490+102	U+12311 & U+12364 & U+121B8	True	GIN4																																								
U2	𒌑𒊕				490+184	U+12311 & U+12295	True	USUG3																																								
U2.NAGA.GA	𒌑𒉀𒂵				490+293+491	U+12311 & U+12240 & U+120B5	True	UGA																																								
U2.NAGA.GA.ḪU	𒌑𒉀𒂵𒄷				490+293+491+132	U+12311 & U+12240 & U+120B5 & U+12137	True	UGA																																								
U2	𒌑𒄑𒈪				490+469+681	U+12311 & U+12111 & U+1222A	True	DIMMUŠ	DIMUŠ																																							
U2.KUR.NI.TUK.KI	𒌑𒆳𒉌𒌇𒆠				490+578+380+827+737	U+12311 & U+121B3 & U+1224C & U+12307 & U+121A0	True	U2.KUR.NI.DILMUNKI	MUZUG4	USUG4	UZUG4																																					
U2.KUR.RA	𒌑𒆳𒊏				490+578+511	U+12311 & U+121B3 & U+1228F	True	ŠEBIRIDA	ŠIMBIRIDA																																							
U2.KUR.RA.EZEN	𒌑𒆳𒊏𒂡				490+578+511+271	U+12311 & U+121B3 & U+1228F & U+120A1	True	ŠEBIRIDA																																								
U2	𒌑𒆳𒍝𒈽𒆠				490+578+851+152+737	U+12311 & U+121B3 & U+1235D & U+1223D & U+121A0	True	U2.KUR.ŠUBAKI	NAMRI																																							
U2	𒌑𒆠𒋧𒂵				490+737+292+491	U+12311 & U+121A0 & U+122E7 & U+120B5	True	GUD3																																								
U2.A.ESIR2.MA2.ŠU2.A	𒌑𒀀𒇒𒈣𒋙𒀀				490+839+761+201+869+839	U+12311 & U+12000 & U+121D2 & U+12223 & U+122D9 & U+12000	True	U2.ESIR.MA2.ŠU2.A	AZAD																																							
GA.MA2	𒂵𒈣𒆜𒅊				491+201+302+564	U+120B5 & U+12223 & U+1219C & U+1214A	True	SAGGA5	SANGA5	ŠANGA5	ŠANGU5																																					
GA.MA2	𒂵𒈣𒅊				491+201+564	U+120B5 & U+12223 & U+1214A	True	SAGGA6	SANGA6	ŠANGA6	ŠANGU6																																					
GA.KASKAL	𒂵𒆜				491+302	U+120B5 & U+1219C	True	GAEŠ																																								
GA.NI	𒂵𒉌				491+380	U+120B5 & U+1224C	True	GAR10																																								
GA.DUB2	𒂵𒂀				491+565	U+120B5 & U+12080	True	GA.BALAG	SAGGA7	SANGA7	ŠANGA7	ŠANGU7																																				
GA.DIŠ	𒂵𒁹				491+748	U+120B5 & U+12079	True	GAR12																																								
GA.LAGAB	𒂵𒆸				491+755	U+120B5 & U+121B8	True	KISIM6																																								
GA.A	𒂵𒀀				491+839	U+120B5 & U+12000	True	GAR11																																								
GA	𒂶				492	U+120B6	False	GAR2	GAR10	GAR11	GAR12	GARA2	GARA10	GARA11	GARA12	QAR4	QARA4																															
IL2	𒅍				493	U+1214D	False	GA.GIN2	GA6	GIL3	GUR3	GURU3	ILA2	ILI2																																		
SANGA2	𒊫				493 (sign IL2)  later:  493+201+565	U+122AB	False	later IL2.MA2.DUB?																																								
IL2	𒅍𒈣𒅊				493+201+564	U+1214D & U+12223 & U+1214A	True	SAGGA3	SANGA3	ŠANGA3	ŠANGU3																																					
IL2	𒅍𒈣𒂀				493+201+565	U+1214D & U+12223 & U+12080	True	IL2.MA2.BALAG	SAGGA2																																							
IL2	𒅍𒂀				493+565	U+1214D & U+12080	True	IL2.BALAG	SAGGA4	SANGA4	ŠANGA4	ŠANGU4																																				
E2	𒂍				495	U+1208D	False	’A3	’E3	PID	PIT	PIṬ																																				
E2	𒂓				495 (sign E2)	U+12093	False																																									
E2	𒂍𒉣				495+143	U+1208D & U+12263	True	E2.GAR6	AGRUN																																							
E2	𒂍𒍑𒁍𒁕				495+381+580+561	U+1208D & U+12351 & U+1204D & U+12055	True	ARAḪ4	AŠLUG																																							
E2	𒂍𒆳𒁁				495+578+113	U+1208D & U+121B3 & U+12041	True	ARALA	ARALI																																							
E2.A	𒂍𒀀				495+839	U+1208D & U+12000	True	DURU7																																								
E2	𒂍𒋞				495+905	U+1208D & U+122DE	True	E2.GAR8	EGAR																																							
GURUŠ	𒄨				496	U+12128	False	ALAD2																																								
KAL	𒆗				496	U+12197	False	ALAD2																																								
KAL crossing KAL	𒆙				496	U+12199	False	LIRI7	LIRU7	LIRUM7																																						
KAL x BAD	𒆘				497	U+12198	False																																									
E over E.NUN over NUN	𒂌				498	U+1208C	False	ḪILIBU																																								
E x PAP	𒂋				498 (sign E)  096 (sign PAB.E)	U+1208B	False																																									
E.TUM	𒂊𒌈				498+354	U+1208A & U+12308	True	GURU19																																								
E.TUM	𒂊𒌈				498+354	U+1208A & U+12308	True	GURU21	KURU14																																							
E.SUD	𒂊𒋤				498+584	U+1208A & U+122E4	True	KURU16																																								
DUG	𒂁				499	U+12081	False	BI x A	DUK	DUQ	EBIR	EPIG2																																				
DUG.KA.GAG	𒂁𒅗𒆕				499+024+379	U+12081 & U+12157 & U+12195	True	PIḪU3																																								
DUG.SILA3	𒁃  or  𒂁𒋡𒁓				499+099+559	U+12043 & U+0020 & U+0020 & U+006F & U+0072 & U+0020 & U+0020 & U+12081 & U+122E1 & U+12053	True	BAḪAR2	LIL7	LILLU	MUŠTAPTIN	NUNNURA	NUNURRA	NUNURRU																																		
DUG.SILA3.BUR.NA	𒂁𒋡𒁓𒈾				499+099+559+110	U+12081 & U+122E1 & U+12053 & U+1223E	True	BAḪAR5																																								
DUG.EZEN	𒂁𒂡				499+271	U+12081 & U+120A1	True	SAḪAR2																																								
DUG.KAŠ3	𒂁𒍒				499+384	U+12081 & U+12352	True	KISI																																								
DUG.KAL	𒂁𒆗				499+496	U+12081 & U+12197	True	SILIMA																																								
DUG.SAR	𒂁𒊬				499+541	U+12081 & U+122AC	True	ŠAKAR																																								
DUG.MUD3	𒂁𒉸				499+621	U+12081 & U+12278	True	PIḪU2																																								
KALAM	𒌦				500	U+12326	False	KALAMA	KANAM																																							
UN	𒌧				501	U+12327	False																																									
NIR	𒉪				502	U+1226A	False	NUN over  NUN	LIR	NAR3	NER																																					
GURUN	𒄧				503	U+12127	False	BURU7	GURIN	GURU	KURUN6																																					
UB.RI	𒌒𒊑				504+142	U+12312 & U+12291	True	AR2.RI	ZAMIN																																							
EŠ16	𒐺				505	U+1243A	False	AŠ over  AŠ  over  AŠ	3	EŠ23	ŠUŠUR																																					
EŠ16	𒀼				505	U+1203C	False	AŠ over  AŠ  over  AŠ	3	EŠ23	ŠUŠUR																																					
LIMMU4	𒐽				506	U+1243D	False	EŠ16.AŠ	4																																							
GI4	𒄄				507	U+12104	False	GI gunû	GA8	GE4	KI8	QE4	QI4																																			
GI4 crossing GI4	𒄆				508	U+12106	False	GI4 over  GI4crossed	GIGI																																							
GI4 over GI4	𒄅				508	U+12105	False	GIGI	ESIR5																																							
USAN2	𒄝				509	U+1211D	False	GU2 gunû																																								
USAN2.GAG	𒄝𒆕				510	U+1211D & U+12195	True																																									
RA.RA	𒊏𒊏				511+511	U+1228F & U+1228F	True	KUTU2																																								
DUL3	𒊨				512	U+122A8	False	SAG  gunû	ANDUL	ŠUR2	UGU5																																					
IA9	𒐺𒋰				513	U+1243A & U+122F0	True	EŠ16.TAB	5																																							
IA9	𒀼𒋰				513	U+1203C & U+122F0	True	EŠ16.TAB	5																																							
LU2	𒇽		groups of people		514	U+121FD	False	AMĪLU	NA6	QAL2																																						
LU2	𒈒				514	U+12212	False	ADAMEN	URBIGU3	URBINGU3																																						
LU2	𒈓				514	U+12213	False	LU2 opposing LU2	ADAMEN	ENBIR	INBIR																																					
LU2	𒈔				514	U+12214	False	DAPARA3																																								
LU2 over LU2	𒇽𒇽				514	U+121FD & U+121FD	True	GIGAM																																								
LU2	𒈉				514 (sign LU2)	U+12209	False	AMĪLU	NA6	QAL2																																						
LU2	𒈍				514 (sign LU2)	U+1220D	False	AMĪLU	NA6	QAL2																																						
LU2	𒈎				514 (sign LU2)	U+1220E	False	AMĪLU	NA6	QAL2																																						
LU2.UŠ	𒇽𒍑				514+	U+121FD & U+12351	True	LUGURUŠ																																								
LU2	𒇽𒁁				514+113	U+121FD & U+12041	True	AD5																																								
LU2.UŠ2	𒇽𒍗				514+113	U+121FD & U+12357	True	AD5																																								
LU2	𒇽𒂗				514+164	U+121FD & U+12097	True	DAPARA2																																								
LU2	𒇽𒃷				514+174	U+121FD & U+120F7	True	ḪEŠ5																																								
LU2	𒇽𒃸				514+175	U+121FD & U+120F8	True	ḪEŠ5																																								
LU2	𒇽𒉈				514+313	U+121FD & U+12248	True	DU14																																								
LU2.BI.LUL	𒇽𒁉𒈜				514+358+570	U+121FD & U+12049 & U+1221C	True	ŠAQA																																								
LU2.RA.RA	𒇽𒊏𒊏				514+511+511	U+121FD & U+1228F & U+1228F	True	KUTU2																																								
LU2	𒇽𒇽				514+514	U+121FD & U+121FD	True	GIGAM																																								
LU2.GAM	𒇽𒃵				514+576	U+121FD & U+120F5	True	DIM3																																								
LU2.ŠE	𒇽𒊺				514+579	U+121FD & U+122BA	True	NIGA2																																								
LU2	𒇽𒄰				514+595	U+121FD & U+12130	True	KAMA5																																								
LU2	𒇽𒆠				514+737	U+121FD & U+121A0	True	DUBAL6																																								
LU2	𒇽𒁹				514+748	U+121FD & U+12079	True	GAL10	GALA10																																							
LU2	𒇽𒈨𒂗				514+753+164	U+121FD & U+12228 & U+12097	True	DINIG2																																								
ME.EN	𒈨𒂗				514+753+164	U+12228 & U+12097	True	DINIG2																																								
LU2	𒇽𒆸				514+755	U+121FD & U+121B8	True	DINIG3																																								
LU2.LAGAB.ḪU	𒇽𒆸𒄷				514+755+132	U+121FD & U+121B8 & U+12137	True	TEŠLUG																																								
LU2	𒇽𒌆				514+809	U+121FD & U+12306	True	AZLAG7																																								
LU2.ŠU2	𒇽𒋙				514+869	U+121FD & U+122D9	True	GALA6																																								
LU2	𒈑				515	U+12211	False	LIL8																																								
LU2	𒈕				516 and 534	U+12215	False	AD6																																								
LU2	𒇿				517	U+121FF	False																																									
LU2 šeššig	𒈕  x 𒁁				518	U+12215 & U+0020 & U+0020 & U+0078 & U+0020 & U+12041	True																																									
LU2	𒈅				519	U+12205	False	DUBAL3																																								
LU2	𒈆				520	U+12206	False	LÚ×KÀD																																								
LU2	𒇽  x 𒋺				520	U+121FD & U+0020 & U+0020 & U+0078 & U+0020 & U+122FA	True	DUBAL4																																								
LU2	𒈂				521	U+12202	False	LU2 x GAN2tenû	ḪEŠ5																																							
LU2	𒈌				522	U+1220C	False	DU14																																								
LU2	𒇾				523	U+121FE	False	DUBAL5																																								
LU2	𒇽  x 𒋗				524	U+121FD & U+0020 & U+0020 & U+0078 & U+0020 & U+122D7	True	ER13																																								
LU2	𒈃				525	U+12203	False	LU2 x ḪI  x BAD	KAMA5																																							
LU2	𒈄				526	U+12204	False																																									
LU2	𒈈				527	U+12208	False	DUBAL6																																								
LU2	𒈋				527’	U+1220B	False	DINIG2																																								
LU2	𒈊				528	U+1220A	False	DINIG3																																								
LU2	𒇽  x 𒆪				529	U+121FD & U+0020 & U+0020 & U+0078 & U+0020 & U+121AA	True	DUBAL7																																								
LU2	𒈀				530	U+12200	False	AMĪLU	NA6	QAL2																																						
LU2	𒈐				530	U+12210	False	AZLAG7																																								
LU2	𒈁				531	U+12201	False	LU2 x EŠ2 tenû	ER13																																							
LU2 x ŠE3.LAL	𒈀𒇲				532	U+12200 & U+121F2	True																																									
LU2	𒈏				533	U+1220F	False																																									
LU2	𒈕				534 and 516	U+12215	False	AD6																																								
URI3	𒌶				535	U+12336	False	AḪ2	AḪA2	AḪI	MUN4	MUŠ5	NAN	URU3																																		
ŠEŠ.AB	𒋀𒀊				535+223	U+122C0 & U+1200A	True	URA16	URAM2	URI5	URIM5	URU15	URUM6																																			
ŠEŠ.UNUG	𒋀𒀕				535+232	U+122C0 & U+12015	True	URA15	URAM	URI2	URIM2	URU14	URUM5																																			
ŠEŠ.KI	𒋀𒆠				535+737	U+122C0 & U+121A0	True	ŠEŠ+KI	NAN2																																							
URU3	𒌶𒆠				535+737	U+12336 & U+121A0	True	ŠEŠ+KI	NAN2																																							
EŠ16.EŠ16	𒑀				536	U+12440	False	6	AŠ9																																							
EŠ16	𒑁				537	U+12441	False	7	IMIN3	UMUN9																																						
EŠ16	𒑅				538	U+12445	False	8	USSA3	USSU3																																						
EŠ16	𒑇				539	U+12447	False	9	ILIMMU3																																							
ZAG	𒍠				540	U+12360	False	BUTE	ṢAK	ZA3	ZAK	ZAQ																																				
ZAG.AN	𒍠𒀭				540+010	U+12360 & U+1202D	True	USUG	UZUG																																							
ZAG.ḪA	𒍠𒄩				540+856	U+12360 & U+12129	True	ENKU																																								
SAR.ḪU	𒊬𒄷				541+132	U+122AC & U+12137	True	EŠLUG																																								
SAR.SAG	𒊬𒊕				541+184	U+122AC & U+12295	True	SAKAR																																								
UD	𒌙				542	U+12319	False																																									
LIL	𒇸				544	U+121F8	False	IL9																																								
MURU2	𒌘				545	U+12318	False	ITI  gunû	UD  x U.U.U  gunû	MUR2	MURI	MURUB4	NESAG	NISAG																																		
DE2	𒌣				547	U+12323	False	DA9	DI8	UMUN2																																						
DE2	𒌤				547 (sign DE2)	U+12324	False	UMUM x KASKAL																																								
DE2	𒌥				547 (sign DE2)	U+12325	False	UMUM x PA																																								
ZIZ2	𒍩				548	U+12369	False	AS2	AṢ2	AŚ	AŠA2	UDEŠŠU	UTU5	ZIZ2																																		
AŠ2	𒀾𒀭				548+010	U+1203E & U+1202D	True	IMGAGA3	UDRA3																																							
AŠ2	𒀾𒀭𒈾				548+010+110	U+1203E & U+1202D & U+1223E	True	IMGAGA2	UDRA2																																							
AŠ2	𒀾𒀀𒀭				548+839+010	U+1203E & U+12000 & U+1202D	True	IMGAGA																																								
AŠ2	𒀾𒃻				548+859	U+1203E & U+120FB	True	EŠGAR																																								
BANEŠ	𒑑				549	U+12451	False	BAEŠ	AS2	AṢ2	AŚ	AŠA2	UDEŠŠU	UTU5	ZIZ2																																	
BANLIMMU	𒑓				550	U+12453	False	4	SŪTU																																							
BANLIMMU	𒑒				550	U+12452	False	AŠ2.U	SŪTU																																							
BANIA	𒑕				551	U+12455	False	SŪTU	5																																							
BANIA	𒑔				551	U+12454	False	AŠ2.U over  U	SŪTU	5																																						
MA x TAK4	𒈡				552 (MA sign)	U+12221	False																																									
GAL.BUR2	𒃲𒁔				553+008	U+120F2 & U+12054	True	GAL.UŠUM	UŠUMGAL																																							
GAL.AN.ZU	𒃲𒀭𒍪				553+010+015	U+120F2 & U+1202D & U+1236A	True	EREŠ5																																								
GAL.ZU	𒃲𒍪				553+015	U+120F2 & U+1236A	True	GAGAZU																																								
GAL.ŠUBUR	𒃲𒋚				553+022	U+120F2 & U+122DA	True	GAL.ŠAḪ	UKUR2																																							
GAL.UKKIN	𒃲𒌺				553+073	U+120F2 & U+1233A	True	GAL.URU x BAR	KINGAL																																							
GAL.KINDA	𒃳				553+163	U+120F3	False	GAL.GAD over GAD.GAR over GAR	KINDAGAL																																							
GAL.NI	𒃲𒉌				553+380	U+120F2 & U+1224C	True	SANTAN	SANTANA	ŠANTAN	ŠANTANA																																					
GAL.URI	𒃲𒌵				553+574	U+120F2 & U+12335	True	KINDAGAL2																																								
GAL.TE	𒃲𒋼				553+589	U+120F2 & U+122FC	True	TIRU	TIRUM																																							
BARA2	𒁈				554	U+12048	False	BAR2	ŠA23	ŠAR6	ŠARA																																					
BARA2	𒁈𒉽𒊺𒉽				554+094+579+060	U+12048 & U+1227D & U+122BA & U+1227D	True	BARA2.PAB.ŠE.PAP	TIDAB	TITAB																																						
GUG2	𒈖				555	U+12216	False	ŠE3  gunû	GAR5	GUK2	KUK	LU3																																				
GUG2	𒈖𒉽𒉽				555+094	U+12216 & U+1227D & U+1227D	True	GUG2.BULUG3	TITAB2																																							
MIR	𒂆				556	U+12086	False	DUN3  gunû	AGA	AGU	IR17	MER	MERE	MIGIR	MIRI	NIGIR	NIMGIR	TEN3	TIN3	UKU																												
MIR.UŠ	𒂆𒍑				556+381	U+12086 & U+12351	True	UKUŠ																																								
DUN4	𒂈				557	U+12088	False	UR  gunû šeššig	MIR šeššig	DUL4	MIGIR2	NIGIR2	NIMGIR2	ŠUDUL4	ŠUDUN4	ŠUTUL4	ŠUTUN4	TUL6																														
A2	𒀉𒀸				560+001	U+12009 & U+12038	True	LIRI5	LIRU5	LIRUM5																																						
A2.ḪU	𒀉𒄷				560+132	U+12009 & U+12137	True	TE8																																								
A2	𒀉𒈽				560+152	U+12009 & U+1223D	True	A2.SUKU5	A2.SUKUD	AŠKUD																																						
A2	𒀉𒈹				560+153	U+12009 & U+12239	True	A2.SUKU6	A2.SUKUD3	AŠKUD2																																						
A2	𒀉𒌉				560+255	U+12009 & U+12309	True	ARḪUŠ5																																								
A2	𒀉𒂑				560+432	U+12009 & U+12091	True	ARḪUŠ7																																								
A2	𒀉𒉺				560+464	U+12009 & U+1227A	True	A2.ZAG2	AZAG2																																							
A2	𒀉𒆗				560+496	U+12009 & U+12197	True	LIRI4	LIRU4	LIRUM4	USU																																					
A2	𒀉𒌓𒁺				560+596+350	U+12009 & U+12313 & U+1207A	True	EḪE	EḪI																																							
A2	𒀉𒌋𒆤				560+699	U+12009 & U+1230B & U+121A4	True	A2.U.KID	AŠTE																																							
A2.LAL.ERIM	𒀉𒇲𒂟				560+750+612	U+12009 & U+121F2 & U+1209F	True	NIŠAKIN																																								
A2	𒀉𒊩				560+883	U+12009 & U+122A9	True	ARḪUŠ6																																								
DA.RI	𒁕𒊑				561+142	U+12055 & U+12291	True	ARU																																								
DA.DA	𒁕𒁕				561+561	U+12055 & U+12055	True	KUKSU2																																								
GAŠAN	𒃽				562  also 563	U+120FD	False	U  gunû	UGUN2	UGUNU2																																						
U	𒐴				563  also 662	U+12434	False	BUR3  gunû	UGUN2	UGUNU2																																						
SIG7	𒅊				564	U+1214A	False	IGI  gunû	10000	AGAR4	DAR5	UGUR2	UKUR5																																			
SIG7	𒅊𒋺𒀩				564+106+573	U+1214A & U+122FA & U+12029	True	SERMUŠKU	SERMUŠŠU	SIRMUŠKU	SIRMUŠŠU	ZERMUŠKU	ZERMUŠŠU	ZIRMUŠKU	ZIRMUŠŠU																																	
SIG7	𒅊𒀩				564+573	U+1214A & U+12029	True	UKDIN	UKTIN	ULUDIM2	ULUDIN2	ULUTIM2	ULUTIN2																																			
BALAG	𒁆				565	U+12046	False	BU11	GUD10	GUDU10																																						
DUB2	𒂀				565	U+12080	False	BULUG5	TUB2	TUP2	ṬUB2	ṬUP2																																				
BALAG.LUL	𒁆𒈜				565+570	U+12046 & U+1221C	True	TEGI	TIGI	TIGU																																						
DUB2	𒂀𒈜				565+570	U+12080 & U+1221C	True	TEGI	TIGI	TIGU																																						
ŠU over inverted ŠU	𒋘				567 (sign ŠU)	U+122D8	False																																									
ŠU.AN	𒋗𒀭				567+010	U+122D7 & U+1202D	True	GIRI20																																								
ŠU.BULUG3	𒋗𒉽𒉽				567+094	U+122D7 & U+1227D & U+1227D	True	GEŠBU2	GEŠPU2																																							
ŠU.BAD	𒋗𒁁				567+113	U+122D7 & U+12041	True	UDU2	UŠ16	ZAPAḪ																																						
ŠU.KAR2	𒋗𒃸				567+175	U+122D7 & U+120F8	True	ŠUKRA																																								
ŠU.GAN	𒋗𒃶				567+253	U+122D7 & U+120F6	True	PEŠ8																																								
ŠU.LUGAL	𒋗𒈗				567+266	U+122D7 & U+12217	True	GIRI21																																								
ŠU.NAGA	𒋗𒉀				567+293	U+122D7 & U+12240	True	TU5																																								
ŠU.GA	𒋗𒂵				567+491	U+122D7 & U+120B5	True	SUḪUB5																																								
ŠU.KAL	𒋗𒆗				567+496	U+122D7 & U+12197	True	GUBRU	ŠUGBAR	ŠUGMAŠ																																						
ŠU.LU2	𒋗𒇽				567+514	U+122D7 & U+121FD	True	GIRI19																																								
ŠU.LUL	𒋗𒈜				567+570	U+122D7 & U+1221C	True	SUSLUG																																								
ŠU.BU	𒋗𒁍				567+580	U+122D7 & U+1204D	True	DUBUL	DULU	UL7																																						
ŠU.GIM	𒋗𒁶				567+686	U+122D7 & U+12076	True	GIRAḪ																																								
ŠU.DI.EŠ	𒋗𒁲				567+736+711	U+122D7 & U+12072	True	SUḪUB4																																								
ŠU.DIŠ	𒋗𒁹				567+748	U+122D7 & U+12079	True	SAGIL	ŠAḪAB																																							
ŠU.DIŠ.EŠ	𒋗𒁹𒌍				567+748+711	U+122D7 & U+12079 & U+1230D	True	SAḪAB2	ŠAḪAB2																																							
ŠU.LAGAB.NA	𒋗𒆸𒈾				567+755+110	U+122D7 & U+121B8 & U+1223E	True	DELEN2	DELENA2	DILEN2	DILENA2	DURUN3	DURUNA3																																			
ŠU.MIN	𒋗𒈫				567+825	U+122D7 & U+1222B	True	QA4	QAD2	QAT2																																						
ŠU.MIN.MEŠ	𒋗𒈫𒈨𒌍				567+825+754	U+122D7 & U+1222B & U+12228 & U+1230D	True	QATI																																								
ŠU.NIG2	𒋗𒃻𒌉𒇲				567+859+255+750	U+122D7 & U+120FB & U+12309 & U+121F2	True	TUKUM	TUKUN																																							
ŠU.NIG2	𒋗𒃻𒌉𒇲𒁉				567+859+255+750+358	U+122D7 & U+120FB & U+12309 & U+121F2 & U+12049	True	TUKUMBI	TUKUNBI																																							
KAD4	𒆒				568	U+12192	False	BANSUR3																																								
KAD	𒆒𒋙				568 (sign KAD4)	U+12192 & U+122D9	True	Labat																																								
KAD4	𒆒𒆒				568+568	U+12192 & U+12192	True	ESIR3																																								
KAD5	𒆓				569	U+12193	False	BANSUR3																																								
KAD5 over KAD5	𒆔				569 (KAD5)	U+12194	False																																									
KAD5	𒆓𒆓				569+569	U+12193 & U+12193	True	ESIR3																																								
LUL.BALAG	𒈜𒁆				570+565	U+1221C & U+12046	True	TEGI2	TIGI2	TIGU2																																						
LUL.DUB2	𒈜𒂀				570+565	U+1221C & U+12080	True	TEGI2	TIGI2	TIGU2																																						
LUL.A	𒈜𒀀				570+839	U+1221C & U+12000	True	KA10																																								
SA6	𒊷				571	U+122B7	False	A10																																								
SA6.TUR	𒊷𒌉				571+255	U+122B7 & U+12309	True	SUḪḪUS																																								
BIŠEBA3	𒄡				572	U+12121	False	GUD over  GUD.LUGAL	GU4 over  GU4.LUGAL	GUD  over  GUD.LUGAL	BIŠEBI3																																					
ALAM	𒀩				573	U+12029	False	GU4 over  GU4.NA2	AL2	ALAG	ALALA	ALAN	BELILI	BIŠEBA2	BIŠEBI2	KAŠŠEBA2	TIMUA																															
URI	𒌵				574	U+12335	False	BUR over  BUR	ARI	KINDA2	TILA	TILLAUR10	URIM	URU19																																		
URI.	𒌵				574	U+12335	False	BUR over  BUR.KI	URI5																																							
