name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
NI	𒉌	ni, ne, ṣal, zal			380	U+1224C	False	ʿA5	BE3	BU16	DIG	DIGI	DIK	DIQ	GAMAR	GUB4	GUR13	I3	IA3	LE2	LI2	LID2	MU5	NE2	SAL3	SAR3	ZAGGA	ZAL	ZALA	ZALLI	ZANGA	ZAR2																
NE	𒉈	ne, bi, bil, pil			313	U+12248	False	BAR7	ŠEG6	TE4	TI9	ṬE3	ṬI5	ZAḪ																																		
NAM	𒉆	nam			134	U+12246	False	BIR5																																								
NAG	𒅘	nag, nak, naq			064	U+12158	False	KA x A	EMMA2	EMMEN2	EMMIN2	ENMEN2	GAB3	GU6	IMMIN2	INMEN2	KAB2	NA8	NAGA2	NAK	NAQ	NIK5																										
NAB	𒀮	nab, nap			246	U+1202E	False	AN over  AN	NAB3	NAP	NIB2	NIP2																																				
NA	𒈾	na			110	U+1223E	False	NE6	NU8																																							
MUŠ	𒈲	muš			585	U+12232	False	IRḪAN	ŠIR10	UTUDI	UTUKI	WUŠ	ZER3	ZIR3																																		
MUL	𒀯	mul			247	U+1202F	False	AN over  AN.AN	KUNGA3	KUNGI3	MULU	NAB2																																				
MUG	𒈮	mug, muk, muq			012	U+1222E	False	BUG	BUK	GAGIM	GAKIM	GUGIM	GUKIM	MUK	MUQ	PUG	PUK	ŠUK2	UTTU4																													
MUD	𒄷𒄭	mud, mut muṭ			137	U+12137 & U+1212D	True	MAT3	MU12	MUT	MUṬ																																					
MU	𒈬	mu			098	U+1222C	False	GU10	I14	IA5	MEḪIDA	MEḪIDI	MEḪIDU	MUḪALDIM	SEG12	SIG12	SUḪ7	ŠAD2	ŠAT2	TAḪ3	TUḪ3	WU4																										
MES	𒈩	mis, rid, rit			486	U+12229	False	KIŠEB	KIŠIB	MESA	MIS	MIṢ	MIŠ	RED	RID	RIT	RIṬ																															
DUN3	𒂇	mir			556 (sign MIR)	U+12087	False	DUN3  gunû	AGA	AGU	IR17	MER	MERE	MIGIR	MIRI	NIGIR	NIMGIR	TEN3	TIN3	UKU																												
